DateTime,Elec_SH,Elec_DHW,Heat_SH,Heat_DHW,OutdoorTemperature,Trial_indicator
10/3/2024,4.8428,1.225,24.9181,3.0301,12.36666667,0
10/4/2024,6.3014,1.144,30.2861,2.8506,11.025,0
10/5/2024,4.5577,1.6802,23.7835,4.2936,12.0875,0
10/6/2024,3.2108,2.3105,18.0156,5.8544,13.45,0
10/7/2024,2.4304,1.7152,13.4556,4.6369,14.82083333,0
10/8/2024,2.131,2.902,11.5253,6.748,14.65833333,0
10/9/2024,2.8157,1.8442,15.8626,4.9522,13.99583333,0
10/10/2024,6.3909,1.9276,33.0449,4.6241,10.44166667,0
10/11/2024,10.395,2.0871,45.0196,4.9006,7.85,0
10/12/2024,6.4458,1.7665,33.63,4.6412,10.42083333,0
10/13/2024,7.7738,4.5057,38.6188,10.8339,9.058333333,0
10/14/2024,7.2963,2.5148,39.5341,6.4925,10.07916667,0
10/15/2024,3.6133,4.4448,20.6617,10.9642,13.37083333,0
10/16/2024,1.5902,1.7413,9.0927,5.186,16.72083333,0
10/17/2024,1.5438,1.6732,7.7372,4.3663,15.55416667,0
10/18/2024,4.3986,1.6519,23.1548,3.8869,11.97916667,0
10/19/2024,2.7047,2.7182,15.0476,7.2066,13.87916667,0
10/20/2024,2.9791,2.2904,16.7224,6.4921,13.8875,0
10/21/2024,4.6458,2.1803,26.3676,5.7272,12.55,0
10/22/2024,4.6363,3.939,25.3423,8.4033,12.225,0
10/23/2024,3.4129,1.7791,19.1958,4.7552,13.64583333,0
10/24/2024,4.6167,1.4976,24.4776,3.8906,12.45833333,0
10/25/2024,2.944,1.5259,17.2793,4.1936,13.92916667,0
10/26/2024,4.9687,2.2267,27.2296,5.5406,11.75833333,0
10/27/2024,6.1403,2.4901,32.2702,6.1669,10.83333333,0
10/28/2024,3.8874,1.8536,22.214,4.9375,13.45416667,0
10/29/2024,2.5757,3.5182,14.201,8.6688,14.2875,0
10/30/2024,3.7494,3.3232,20.4863,8.5862,12.94166667,0
10/31/2024,7.1833,2.3362,36.4117,5.6801,9.791666667,0
11/1/2024,6.5225,1.8235,36.4159,4.2597,11.0125,0
11/2/2024,5.067,2.2107,28.4728,5.5765,12.57083333,0
11/3/2024,4.9284,2.8838,27.6025,7.1746,12.3,0
11/4/2024,5.8189,2.8075,31.7813,6.9279,11.45,0
11/5/2024,5.4663,4.7189,28.9738,10.7813,11.2625,0
11/6/2024,6.2667,2.5194,33.8591,6.0323,10.48333333,0
11/7/2024,5.4642,2.837,29.6115,6.9373,10.62916667,0
11/8/2024,8.1231,3.0608,41.7838,7.2862,9.591666667,0
11/9/2024,9.1297,3.1914,44.7747,7.3037,8.95,0
11/10/2024,8.309,2.9598,43.3542,7.2685,9.583333333,0
11/11/2024,7.897,2.7853,40.704,6.4692,10.00416667,0
11/12/2024,8.0962,3.7358,40.5895,7.9624,9.3375,0
11/13/2024,7.931,2.9244,40.1267,6.9716,9.491666667,0
11/14/2024,7.1052,2.4182,37.4693,5.5746,10.4,0
11/15/2024,9.1161,2.4657,44.8845,5.3122,8.825,0
11/16/2024,9.0809,2.937,46.4415,7.0834,8.466666667,0
11/17/2024,8.6834,3.0542,43.4244,7.0447,9.0875,0
11/18/2024,10.2317,2.6586,50.9968,5.9756,8.004166667,0
11/19/2024,16.7178,6.0678,63.0442,12.3753,4.958333333,0
11/20/2024,21.4399,3.1858,78.6133,6.9678,2.808333333,0
11/21/2024,27.2014,3.2046,89.7961,6.7126,1.433333333,0
11/22/2024,21.459,3.145,81.7949,6.8036,4.0625,0
11/23/2024,11.2735,3.0255,54.7603,7.5831,8.3625,0
11/24/2024,3.661,2.9833,21.0952,8.1442,15.23333333,0
11/25/2024,7.5336,4.7419,38.078,11.3427,9.858333333,0
11/26/2024,11.8895,5.1162,51.637,10.3822,6.629166667,0
11/27/2024,13.2303,3.2254,59.8416,7.304,5.891666667,0
11/28/2024,22.8087,2.6674,79.6718,5.7158,3.020833333,0
11/29/2024,15.4385,2.583,67.208,5.6973,5.779166667,0
11/30/2024,6.4537,3.0416,37.4866,7.6521,11.3625,0
12/1/2024,5.1022,3.1385,28.7709,8.2528,11.94583333,0
12/2/2024,8.7328,2.9101,44.6166,6.6648,9.6875,0
12/3/2024,11.4338,5.7964,52.906,12.0569,6.65,0
12/4/2024,13.1254,2.8026,60.3626,6.3621,6.508333333,0
12/5/2024,6.7776,2.9569,39.0138,7.5382,11.44166667,0
12/6/2024,10.5623,3.0654,50.4513,7.1257,8.395833333,0
12/7/2024,11.6766,2.9571,56.7722,6.5745,8.079166667,0
12/8/2024,12.1918,3.6752,58.018,8.3676,7.029166667,0
12/9/2024,12.1609,3.2322,59.9515,7.6534,7.204166667,0
12/10/2024,12.548,6.5349,60.435,14.4816,6.7,0
12/11/2024,13.4429,3.2174,63.8248,7.7263,6.425,0
12/12/2024,12.5045,3.2463,61.1743,8.2553,6.7625,0
12/13/2024,13.5933,3.2365,63.7981,7.7942,6.429166667,0
12/14/2024,12.0714,3.216,57.8969,7.3989,6.483333333,0
12/15/2024,9.4202,3.0198,49.1106,7.6844,9.020833333,0
12/16/2024,8.0656,2.7702,43.5921,6.4824,10.49166667,0
12/17/2024,9.1256,5.3613,47.6503,11.8085,8.683333333,0
12/18/2024,5.9001,2.953,33.7921,7.5149,12.40833333,0
12/19/2024,11.882,3.1934,55.7356,7.2298,7.341666667,0
12/20/2024,14.9659,2.4858,64.1541,5.5789,6.0375,0
12/21/2024,10.9688,2.937,55.5969,7.0332,8.1125,0
12/22/2024,14.7932,3.2092,63.4934,7.2144,6.2625,0
12/23/2024,14.374,3.2272,65.7923,7.3649,6.129166667,0
12/24/2024,8.8398,4.1777,47.3441,9.1204,9.404166667,0
12/25/2024,5.5807,0,28.9766,0,9.6375,0
12/26/2024,10.9612,4.8117,53.2823,10.6566,7.7625,0
12/27/2024,13.0228,2.5185,61.9172,5.5412,6.7,0
